domain,source_column,tag_id,mqtt_topic,equipment,stream,parameter,unit,data_type,sample_rate,description
process,Feed Solid Flow,PB001.IN.SolidFlow,plant/grinding/PB001/process/in/solid_flow,PB_001,P_001,Solid Flow,t/h,float,15min,Fresh slurry feed solids into pump box
process,Feed BPL,PB001.IN.BPL,plant/grinding/PB001/process/in/bpl,PB_001,P_001,Grade (BPL),%,float,15min,Grade of fresh feed (assay-limited)
process,Feed P80,PB001.IN.P80,plant/grinding/PB001/process/in/p80,PB_001,P_001,P80,um,float,15min,80% passing size of fresh feed (analyzer-limited)
process,Feed Solid Fraction,PB001.IN.SolidFraction,plant/grinding/PB001/process/in/solid_fraction,PB_001,P_001,Solid Fraction,%,float,15min,Percent solids by mass of fresh feed
process,Process Water Solid Flow,PB001.WATER.SolidFlow,plant/grinding/PB001/process/water/solid_flow,PB_001,P_101,Solid Flow,t/h,float,15min,Solids carried in process water (nominally 0)
process,Process Water Solid Fraction,PB001.WATER.SolidFraction,plant/grinding/PB001/process/water/solid_fraction,PB_001,P_101,Solid Fraction,%,float,15min,Percent solids of process water
process,Cyclone Feed Solid Flow,CY001.FEED.SolidFlow,plant/grinding/CY001/process/feed/solid_flow,CY_001,P_003,Solid Flow,t/h,float,15min,Combined slurry entering hydrocyclones
process,Cyclone Feed BPL,CY001.FEED.BPL,plant/grinding/CY001/process/feed/bpl,CY_001,P_003,Grade (BPL),%,float,15min,Grade of cyclone feed slurry
process,Cyclone Feed P80,CY001.FEED.P80,plant/grinding/CY001/process/feed/p80,CY_001,P_003,P80,um,float,15min,80% passing size of cyclone feed
process,Cyclone Feed Solid Fraction,CY001.FEED.SolidFraction,plant/grinding/CY001/process/feed/solid_fraction,CY_001,P_003,Solid Fraction,%,float,15min,Percent solids of cyclone feed
process,Output Slurry Solid Flow,CY001.OF.SolidFlow,plant/grinding/CY001/process/overflow/solid_flow,CY_001,P_006,Solid Flow,t/h,float,15min,Fine solids leaving via overflow (final product)
process,Output Slurry BPL,CY001.OF.BPL,plant/grinding/CY001/process/overflow/bpl,CY_001,P_006,Grade (BPL),%,float,15min,Grade of final product slurry
process,Output Slurry P80,CY001.OF.P80,plant/grinding/CY001/process/overflow/p80,CY_001,P_006,P80,um,float,15min,80% passing size of final product (target)
process,Output Slurry Solid Fraction,CY001.OF.SolidFraction,plant/grinding/CY001/process/overflow/solid_fraction,CY_001,P_006,Solid Fraction,%,float,15min,Percent solids of final product slurry
process,Cyclone Underflow Solid Flow,CY001.UF.SolidFlow,plant/grinding/CY001/process/underflow/solid_flow,CY_001,P_004,Solid Flow,t/h,float,15min,"Coarse solids rejected to underflow, sent to mill"
process,Cyclone Underflow BPL,CY001.UF.BPL,plant/grinding/CY001/process/underflow/bpl,CY_001,P_004,Grade (BPL),%,float,15min,Grade of underflow slurry
process,Cyclone Underflow P80,CY001.UF.P80,plant/grinding/CY001/process/underflow/p80,CY_001,P_004,P80,um,float,15min,80% passing size of underflow (mill feed)
process,Cyclone Underflow Solid Fraction,CY001.UF.SolidFraction,plant/grinding/CY001/process/underflow/solid_fraction,CY_001,P_004,Solid Fraction,%,float,15min,Percent solids of underflow slurry
process,Ball Mill Discharge Solid Flow,BM001.DISCH.SolidFlow,plant/grinding/BM001/process/discharge/solid_flow,BM_001,P_005,Solid Flow,t/h,float,15min,Ground solids returning to pump box
process,Ball Mill Discharge BPL,BM001.DISCH.BPL,plant/grinding/BM001/process/discharge/bpl,BM_001,P_005,Grade (BPL),%,float,15min,Grade of mill discharge
process,Ball Mill Discharge P80,BM001.DISCH.P80,plant/grinding/BM001/process/discharge/p80,BM_001,P_005,P80,um,float,15min,80% passing size after grinding
process,Ball Mill Discharge Solid Fraction,BM001.DISCH.SolidFraction,plant/grinding/BM001/process/discharge/solid_fraction,BM_001,P_005,Solid Fraction,%,float,15min,Percent solids of mill discharge
process,Circulating_Load_Ratio_pct,CIRCUIT.KPI.CirculatingLoad,plant/grinding/circuit/process/kpi/circulating_load,CIRCUIT,P_004/P_001,Circulating Load Ratio,%,float,15min,Underflow recycle tonnage vs fresh feed tonnage
process,Mill_Reduction_Ratio,CIRCUIT.KPI.ReductionRatio,plant/grinding/circuit/process/kpi/reduction_ratio,CIRCUIT,P_004/P_005,Reduction Ratio,ratio,float,15min,Mill feed P80 / mill discharge P80
health,Ambient_Temp_C,CIRCUIT.ENV.AmbientTemp,plant/grinding/circuit/health/env/ambient_temp,CIRCUIT,-,Ambient Temperature,degC,float,1min,Plant area ambient temperature
