log_id,equipment_id,maintenance_date,maintenance_type,work_order_type,description,technician,parts_replaced,downtime_hours,cost_usd,status,condition_after
WO-2026-0814,SP_001,2026-07-23,Corrective,CM-01,Replaced throatbush and impeller rubber wear liner due to severe phosphate slurry erosion.,Marcus Vance (Lead Mechanical),Warman AH 8/6 Throatbush (L-8083) & Rubber Liner,5.5,4200,Completed,Fair - wear liner due
WO-2026-0610,SP_001,2026-06-12,Preventive,PM-04,Quarterly slurry pump wet-end inspection & gland seal water packing flush.,David Thorne (Mechanical Specialist),Gland Seal Packing Ring Set & Mechanical Seal Kit,2.0,850,Completed,Optimal
WO-2026-0315,SP_001,2026-03-20,Overhaul,PM-01,Annual major overhaul. Replaced drive shaft sleeve and heavy-duty roller bearings.,Sarah Lin (Reliability Lead),Shaft Sleeve (SS-12) & Heavy Duty Bearings (SKF 23230),12.0,14500,Completed,Optimal
WO-2025-1102,SP_001,2025-11-15,Condition-Based,CM-02,Vibration spike on drive end bearing (7.2 mm/s). Rebalanced pulley coupling.,Marcus Vance (Lead Mechanical),Drive Pulley Belt Set (V-100) & Alignment Shims,3.5,1200,Completed,Optimal
WO-2025-0720,SP_001,2025-07-20,Preventive,PM-03,Bi-annual casing liner inspection and clearance adjustment to 0.5mm.,David Thorne (Mechanical Specialist),Impeller Retaining Bolt & O-Rings,4.0,2100,Completed,Optimal
WO-2025-0210,SP_001,2025-02-10,Overhaul,PM-01,Scheduled overhaul of wet-end assembly. Replaced 5-vane high-head slurry impeller.,Sarah Lin (Reliability Lead),5-Vane Rubber Slurry Impeller (C-8056),10.5,12800,Completed,Optimal
WO-2024-0918,SP_001,2024-09-18,Corrective,CM-03,Suction pipe gasket blow-out causing slurry leakage. Installed high-pressure flange gasket.,Marcus Vance (Lead Mechanical),EPDM High-Pressure Flange Gasket 250mm,2.5,650,Completed,Optimal
WO-2026-0820,BM_001,2026-07-28,Condition-Based,CM-03,Trunnion bearing temp alert (68C). Cleaned lube oil filter & replenished synthetic lube.,Elena Rostova (Mill Specialist),High Viscosity Lube Oil (ISO VG 320) & Filter Element,4.0,2800,Completed,Fair - bearing monitored
WO-2026-0504,BM_001,2026-05-10,Preventive,PM-02,Bi-monthly liner bolt torque check and charge ball addition (15 tons forged 80mm steel balls).,Thomas Wright (Mill Maintenance),80mm Forged Grinding Balls (15t) & Torqued Bolts,8.0,18500,Completed,Optimal
WO-2026-0118,BM_001,2026-01-22,Overhaul,PM-01,Scheduled relining of shell discharge grates and pinion drive alignment check.,Elena Rostova (Mill Specialist),Rubber Shell Liners & Discharge Grate Segment,36.0,82000,Completed,Optimal
WO-2025-0812,BM_001,2025-08-18,Preventive,PM-04,Girth gear spray lubrication system inspection and acoustic ultrasonic wear test.,Thomas Wright (Mill Maintenance),Lube Nozzle Assembly & Solenoid Valve,3.0,1100,Completed,Optimal
